target,candidate,score
"BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.","Newspaper in London reports that BBC undergoes massive overhaul, reducing staff by nearly 25% from 28,000 employees, marking largest transformation in 82 years since establishment.",1.0
"BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.","According to a London newspaper, the world's largest public broadcaster, the British Broadcasting Corporation, is set to cut nearly a quarter of its 28,000 employees in its biggest restructuring in 82 years.",1.0
"Newspaper in London reports that BBC undergoes massive overhaul, reducing staff by nearly 25% from 28,000 employees, marking largest transformation in 82 years since establishment.","BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.",1.0
"Newspaper in London reports that BBC undergoes massive overhaul, reducing staff by nearly 25% from 28,000 employees, marking largest transformation in 82 years since establishment.","According to a London newspaper, the world's largest public broadcaster, the British Broadcasting Corporation, is set to cut nearly a quarter of its 28,000 employees in its biggest restructuring in 82 years.",1.0
"London's Times reports massive restructuring at BBC, with near 25% reduction in 28k staff members, marking most significant change in corporation's 82-year existence.","BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.",1.0
"London's Times reports massive restructuring at BBC, with near 25% reduction in 28k staff members, marking most significant change in corporation's 82-year existence.","According to a London newspaper, the world's largest public broadcaster, the British Broadcasting Corporation, is set to cut nearly a quarter of its 28,000 employees in its biggest restructuring in 82 years.",1.0
"The British Broadcasting Corporation is reportedly planning to cut a quarter of its 28,000-strong workforce in the biggest shake-up of its 82-year history, according to a London newspaper.","BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.",1.0
"The British Broadcasting Corporation is reportedly planning to cut a quarter of its 28,000-strong workforce in the biggest shake-up of its 82-year history, according to a London newspaper.","According to a London newspaper, the world's largest public broadcaster, the British Broadcasting Corporation, is set to cut nearly a quarter of its 28,000 employees in its biggest restructuring in 82 years.",1.0
"According to a London newspaper, the world's largest public broadcaster, the British Broadcasting Corporation, is set to cut nearly a quarter of its 28,000 employees in its biggest restructuring in 82 years.","BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.",1.0
"According to a London newspaper, the world's largest public broadcaster, the British Broadcasting Corporation, is set to cut nearly a quarter of its 28,000 employees in its biggest restructuring in 82 years.","The British Broadcasting Corporation is reportedly planning to cut a quarter of its 28,000-strong workforce in the biggest shake-up of its 82-year history, according to a London newspaper.",1.0
"According to The Times in London, the UK's third largest public broker, the British Broadcasting Corporation, plans to reduce its staff by around 25% from its current total of 28,000 employees, marking the most significant overhaul in its 82-year existence.","BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.",1.0
"According to The Times in London, the UK's third largest public broker, the British Broadcasting Corporation, plans to reduce its staff by around 25% from its current total of 28,000 employees, marking the most significant overhaul in its 82-year existence.","The British Broadcasting Corporation is reportedly planning to cut a quarter of its 28,000-strong workforce in the biggest shake-up of its 82-year history, according to a London newspaper.",1.0
"As reported by The Times in London, the globally recognized British Broadcasting Corporation, the world's leading public broadcasting organization, intends to diminish nearly a fourth of its 28,000 personnel, thereby instigating the most extensive transformation in its 82-year tenure.","BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.",1.0
"As reported by The Times in London, the globally recognized British Broadcasting Corporation, the world's leading public broadcasting organization, intends to diminish nearly a fourth of its 28,000 personnel, thereby instigating the most extensive transformation in its 82-year tenure.","The British Broadcasting Corporation is reportedly planning to cut a quarter of its 28,000-strong workforce in the biggest shake-up of its 82-year history, according to a London newspaper.",1.0
Marsh averts cash crunch Embattled insurance broker #39;s banks agree to waive clause that may have prevented access to credit. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,"Facing a potential financial crisis, banks for embattled insurer Marsh & McLennan Companies agree to waive a condition possibly restricting their access to loans. NYC (AP) - Marsh & McLennan Cos.",1.0
Marsh averts cash crunch Embattled insurance broker #39;s banks agree to waive clause that may have prevented access to credit. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,"Marsh & McLennan Cos. has reportedly avoided a cash crisis, as banks associated with the insurance broker have agreed to waive a clause that could have prevented access to credit, according to sources in New York.",1.0
"Facing a potential financial crisis, banks for embattled insurer Marsh & McLennan Companies agree to waive a condition possibly restricting their access to loans. NYC (AP) - Marsh & McLennan Cos.",Marsh averts cash crunch Embattled insurance broker #39;s banks agree to waive clause that may have prevented access to credit. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,1.0
"Facing a potential financial crisis, banks for embattled insurer Marsh & McLennan Companies agree to waive a condition possibly restricting their access to loans. NYC (AP) - Marsh & McLennan Cos.","Marsh & McLennan Cos. has reportedly avoided a cash crisis, as banks associated with the insurance broker have agreed to waive a clause that could have prevented access to credit, according to sources in New York.",1.0
Banks assist struggling insurer by suspending limiting rule on Marsh & McLennan Companies' loan access. NYC (Associated Press) - Marsh & McLennan Cos.,Marsh averts cash crunch Embattled insurance broker #39;s banks agree to waive clause that may have prevented access to credit. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,1.0
Banks assist struggling insurer by suspending limiting rule on Marsh & McLennan Companies' loan access. NYC (Associated Press) - Marsh & McLennan Cos.,"Marsh & McLennan Cos. has reportedly avoided a cash crisis, as banks associated with the insurance broker have agreed to waive a clause that could have prevented access to credit, according to sources in New York.",1.0
"According to reports, banks associated with insurance broker Marsh & McLennan have agreed to waive a clause that could have blocked access to credit, helping the company avert a potential financial crisis.",Marsh averts cash crunch Embattled insurance broker #39;s banks agree to waive clause that may have prevented access to credit. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,1.0
